report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
93,21,2.8451060000000004,2.845108,2.8464389999999997,2.814684,2.8002689999999997,2.8003460000000002,2.800413,2.8005549999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.263,6.15,2.0,3.0,7.6,6.8,7.6,7.6
94,21,3.000204,3.0,2.999999,3.000015,3.000022,3.00002,2.999993,2.999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.05,2.0,3.0,7.5,6.6,7.5,7.8
95,22,3.017859,3.036521,3.036128,3.049471,3.0035160000000003,3.000365,3.0964810000000003,3.03614,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.1,2.0,3.0,7.6,6.6,7.6,7.9
96,23,3.100682,3.1022689999999997,3.102205,3.100333,3.100402,3.100352,3.100275,3.102224,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.861,6.15,2.0,2.9,7.8,6.6,7.8,8.0
97,23,3.112353,3.154554,3.155056,3.1108719999999996,3.111859,3.1061680000000003,3.104468,3.155027,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.172,6.15,2.0,3.0,8.0,6.7,8.0,8.1
98,23,3.0840549999999998,3.09127,3.0911939999999998,3.133857,3.09127,3.103712,3.076359,3.137221,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.2,2.0,2.9,8.1,6.7,8.1,8.1
99,21,2.962824,2.9261500000000003,2.926621,2.921563,2.9261500000000003,2.9449490000000003,2.994702,2.9149789999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.15,2.0,3.0,7.8,6.7,7.8,7.7
100,22,3.000003,3.0,3.000102,2.999993,2.999999,3.0000120000000003,3.000045,2.999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.873,6.1,2.0,3.0,7.5,6.7,7.5,7.4
101,22,3.1,3.099999,3.099981,3.100104,3.099999,3.0999920000000003,3.099999,3.100023,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,6.1,2.0,2.9,7.7,6.6,7.7,7.9
102,22,3.128875,3.128208,3.145466,3.127097,3.156512,3.113032,3.128209,3.111103,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.172,6.15,2.0,3.0,8.0,6.7,8.0,8.1
103,22,3.0,3.0,3.000037,3.000066,3.0000210000000003,3.000001,2.999999,3.00001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.15,2.0,2.9,7.9,6.7,7.9,7.8
104,22,3.1,3.1,3.100045,3.100108,3.0999980000000003,3.099973,3.1,3.1000479999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.1,2.0,3.0,7.7,6.6,7.7,7.8
105,23,3.099839,3.099999,3.1000880000000004,3.1000569999999996,3.1,3.099957,3.100061,3.099999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.1,2.0,3.0,7.7,6.6,7.7,7.7
106,23,3.199914,3.2,3.200034,3.200029,3.1999989999999996,3.199995,3.20007,3.2,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.876,6.15,2.0,3.0,7.7,6.6,7.7,8.0
107,23,3.302826,3.2461640000000003,3.3160909999999997,3.242686,3.243553,3.3650819999999997,3.280725,3.246105,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.211,6.2,2.0,3.0,8.0,6.7,8.0,8.1
108,23,3.3905909999999997,3.336673,3.395431,3.396672,3.344531,3.396866,3.397045,3.336678,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.475,6.25,2.0,3.0,8.1,6.7,8.1,8.1
109,22,2.9999879999999997,3.0,3.000067,3.000027,3.0,3.0,3.000045,3.0,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.2,2.0,3.0,7.8,6.8,7.8,7.7
110,23,3.100069,3.1,3.1002579999999997,3.1000300000000003,3.1,3.09996,3.099985,3.099999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,6.15,2.0,3.0,7.6,6.7,7.6,7.7
111,22,3.113642,3.133799,3.1005079999999996,3.108955,3.13345,3.105764,3.10061,3.133455,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.876,6.2,2.0,3.0,7.7,6.7,7.7,8.0
112,23,3.200003,3.2,3.200163,3.199983,3.2,3.199977,3.20005,3.1999989999999996,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.876,6.25,2.0,3.0,7.9,6.7,7.9,8.1
113,24,3.2,3.1999989999999996,3.200186,3.2000070000000003,3.200014,3.199979,3.20005,3.1999989999999996,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.25,2.0,3.0,8.1,6.8,8.1,8.1
114,22,3.0,2.999999,3.000129,3.00008,3.000006,3.000063,3.000041,3.0,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.2,2.0,2.9,7.7,6.8,7.7,7.7
115,22,3.001535,3.0015,3.001532,3.000467,3.0003939999999996,3.0004589999999998,3.000614,3.000664,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.15,2.0,3.0,7.7,6.7,7.7,7.8
116,22,3.099986,3.1,3.099999,3.100486,3.1,3.099974,3.100089,3.100277,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.012,6.15,2.0,3.0,8.0,6.7,8.0,8.0
117,22,3.100024,3.099999,3.1,3.100171,3.1,3.1000430000000003,3.1000259999999997,3.099979,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.15,2.0,3.0,7.9,6.7,7.9,7.6
118,22,3.099934,3.1,3.099999,3.100121,3.099999,3.1,3.099999,3.100172,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.15,2.0,3.0,7.8,6.7,7.8,7.9
119,22,3.199982,3.2,3.2000859999999998,3.1999989999999996,3.1999989999999996,3.199991,3.200048,3.1999940000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.15,2.0,3.0,7.9,6.7,7.9,7.9
120,23,3.3838220000000003,3.231846,3.234022,3.237203,3.387665,3.3985700000000003,3.392986,3.3986520000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.2,2.0,3.0,7.8,6.7,7.8,8.1
./benchmark:19:in `digest': Interrupt
	from ./benchmark:19:in `digest'
	from ./benchmark:19:in `hexdigest'
	from ./benchmark:19:in `waste_cpu'
	from ./benchmark:102:in `block in <main>'
	from ./benchmark:100:in `each'
	from ./benchmark:100:in `<main>'
